"","Imports","Exports","Feed","Seed","Losses","Industrial","Food","Stock","Production"
"butter.and.ghee",0,0,0,0,3.13172134846819,0,84.761608177577,-16.4973820895608,104.390711615606
"barley.and.products",0.168706520992294,1836.39061791183,784.429322794402,199.794837636894,44.4959333715413,69.4060543273469,2.35328796838321,-287.641650448375,3224.34299793778
"cereals..other.and.products",0.768067416881491,5.00364417843528,101.021453553685,11.0786539856476,3.73139584084628,6.00777214244942,0,1.69499092263909,124.379861361543
"maize.and.products",0.513308969212718,56.6487476481187,69.0713656101982,0.541481517132868,2.45062658178376,321.923176984365,32.3772026297804,288.005118844724,194.494173157442
"millet.and.products",0.0509616841657989,1.56430471559096,18.4382089804315,0.289770635604552,0.228766291266752,0.878545653009933,3.5527136788005e-15,2.28477698617521,19.0638576055627
"oats.and.products",0.0175845522285116,82.315942855314,332.992600956824,37.331383142543,6.27569328468309,23.9015699628952,63.4905892491011,-14.0395626618581,560.32975756099
"rice.(milled.eq.).and.products",0.147682500508319,1.97391941064769,10.8793153656435,13.2892594619202,3.99807441752949,12.8129336622461,100.747858100021,-112.745872332146,256.299550249646
"rye.and.products",0.00580016863750372,0.152852708251467,5.47919056250557,0,0.223864071553799,0.775355663864151,0.391370754464684,-8.63799658658513,15.6548301785873
"sorghum.and.products",0.0857201737385316,547.688394077601,390.076345156941,4.24118590520904,19.0120532626892,0,0,0.727547991872711,960.204710236829
"wheat.and.products",0.752152937520621,9160.61930147077,1278.35814525897,1040.86317108507,142.165253401998,139.380288888959,719.076456708169,533.050514128718,11946.6599497477
"eggs",0.136002185417287,0.415775370981971,0,0,0.185297596268089,0,30.1170237423112,-4.81337697616803,35.395471500312
"milk..excluding.butter",0.520555398713048,5.61579715559969,24.731901248929,0,21.857855232639,0,528.268326746501,-148.641849436344,728.5951744213
"apples.and.products",0.0224056287998098,0.342351914627254,0,0,0.149461540593706,0,40.3553917927079,22.5977824735551,18.2270171455739
"bananas.and.plantains",0,0,0,0,0.227157164344932,0,24.6018601610555,-6.91387460102517,31.7428919264256
"citrus.and.products",1.59480098532664,10.3115430002127,0,0,0.182432434557204,0,23.7407803167623,3.58476530909916,29.0551894571064
"dates",2.1518435920919,0.116521191150774,0,0,0,0,2.46502837785636,0.429705976915234,0
"fruits.and.products..other",5.00882453794323,1.76293549047778,0,0,0.71271646688303,0,37.4657465550491,11.175358411699,23.7572155627677
"grapes.and.products",1.47682665543042,4.06048283274047,0,0,0.590088469117167,0,60.7321070929783,-83.6162655398865,147.522117279292
"nuts.and.products",4.03964983946241,22.6240086826727,0,0,3.88453619846036,0,16.160762729755,-90.8548821772533,129.484539948679
"pineapples.and.products",0.285701060291884,0.00622008402573941,0,0,0.0515157400528928,0,9.05771253677235,3.16867696507638,5.66107033548272
"aquatic.animals..others",0.16434788421069,0.285601342405309,0,0,4.58054616230351e-05,0,3.43540962172763,3.5551820366631,0.00152684872076784
"bovine.meat.and.offal",0.915279141763496,176.79096423874,0,0,15.3384568913321,0,173.625552928951,-146.442201460477,511.281896377737
"cephalopods",2.85779691350564,0.0899769517148135,0,0,0.00957514634653671,0,1.70730692657415,-1.3701094337547,0.319171544884557
"crustaceans",0,0,0,0,0.107159615474926,0,21.7601900707527,18.2953625037301,3.57198718249752
"demersal.fish",0.203047373856156,0.00498694454889484,0,0,0.0247662736744687,0,18.6535088493864,17.654672237938,0.825542455815624
"freshwater.fish",0,0,0,0,0.276367669488431,0,7.06091275488069,-1.87497522524524,9.21225564961436
"marine.fish..other",0,0,0,0,0.160900237766045,0,9.08736219504947,3.88492117394737,5.36334125886815
"meat.and.offal..other",0.0149726662065265,2.15834509197763,0,0,0.120618538614685,0,3.97368996047901,2.21706297104196,4.02061795382284
"molluscs",0,0,0,0,0.0971282216075833,0,10.1654953000723,7.02501613476044,3.23760738691944
"ovine.meat.and.offal",0.153873649490232,68.2252074849484,0,0,3.98737802477089,0,47.4639110976733,-22.1615676761716,141.684190634074
"pelagic.fish",0,0,33.0048225967237,0,0.324632554378108,0,13.2403306965006,35.7487007016655,10.8210851459369
"pigmeat.and.offal",0.176676928284614,2.2591365806966,0,0,1.24317020146299,0,122.250363039491,44.1456303521219,81.4303625412441
"poultry.meat.and.offal",0.0128863780011582,0.731006964032982,0,0,5.96002404121772,0,317.941606386545,125.952282973204,198.667468040591
"coconuts..including.copra",3.30085441148281,0.0757383111485614,0,0,0,0,10.567464827601,7.34234872726675,0
"cottonseed",0.0183822843676818,227.815450343802,0,0,12.4577106801771,846.143507817902,0,12.4577106801735,1073.94057587734
"groundnuts",0.148587263855769,0.0827570058552995,0.0599702201924458,1.08779653671292,0.267517997206787,16.3190010111404,28.2013490624907,28.3849681509986,17.4848364187442
"oilcrops..other",9.71261452481935,6.50763149647405,0,0,0,7.34844720687322,0.0366655872666417,0.0366655872666426,4.14346417852792
"rape.and.mustard.seed",2.75714290663378,1587.7202753821,0,26.16220016058,0,427.437825537196,0,26.1622001605822,2012.40095801266
"soybeans",3.29242122628212,4.05529416025903,0.169694180816133,2.27479178676492,0.26820893233887,35.17195563452,4.08006961549745e-15,1.39628286579594,37.2512406026209
"sunflower.and.safflower.seed",1.86310265036237,2.39584934318166,0.740265590489265,0.967494775740647,0.0519781435236086,34.912284073985,0,0.0519781435236126,37.1527911330342
"beans",3.46386232791256,482.229661248428,1.40298007381927,4.24919481485723,0.34793905830718,0,1.11200534252518,457.818316733639,28.0596014763855
"peas",0.770358425231972,102.269112448259,6.08852702582236,15.3976981927317,2.5328272427421,0,19.5543933676047,23.3016593354809,121.770540516447
"pulses..other",0.381770264446393,3.9581426938137,1390.10876543418,54.7162399191395,43.7890628807536,0,11.4402000604828,43.9952113654731,1459.63542935845
"cassava.and.products",0,0,0,0,0,0,1.50910765756396,1.50910765756396,0
"potatoes.and.products",0.0018911230326773,3.31826303441644,5.08368279278748,9.2065679007815,10.1095469206793,5.34647525431047,96.7079606572965,19.524728439646,110.245876997593
"roots..other",0.0139108794417499,0.00372682095536533,0,0,0,0,0.405342762903753,0.395158704417368,0
"sweet.potatoes.and.products",0.249315209953205,0.0498379619092914,1.07064125779042,0.015853495914183,0.398938347249874,0,4.86411315484504,0.475270327103063,5.67479868065254
"cloves",0.106205101320681,0.0159523663778438,0,0,0,0,0.0902527349428374,2.0122792321331e-16,0
"cocoa.beans.and.products",0.272752519754015,0.245457131919429,0,0,0,0,32.707336641607,32.6800412537724,0
"coffee.and.products",0.0990705009905489,0.00147447001410971,0,0,0,0,0.229316851395121,0.131720820418682,0
"pepper",1.20685368397387,0.0708693793097847,0,0,0,0,1.06225299378956,-0.0737313108745253,0
"pimento",1.89729784926525,0.0928529219700552,0,0,0,0,1.33928030190473,-0.465164625390465,0
"spices..other",4.17713890896267,0.817420195370764,0,0,0.0374131414732713,0,3.17352456613081,-1.39588572176353,1.24710471577571
"tea.(including.mate)",0.017824725660452,0.0104524924717839,0,0,0,0,0.0171158589130241,0.00974362572435591,0
"honey",1.57967154686278,2.23684864523194,0,0,0.123704870293882,0,3.53442486553948,0.191811157739802,4.12349567646272
"sugar.(molasses)",0,0,187.113361255156,0,7.77019892028479,0,0,-64.1230705007192,259.00663067616
"sugar.(raw.eq.)",0.0261767436368199,0.0371507106563494,0,0,33.7399182728492,56.2326484230643,450.521700888479,-584.158700876898,1124.66394242831
"coconut.oil",17.3591757255982,13.3629483761353,0,0,0,0.199799229824079,5.34631172792916,1.54988360829032,0
"cottonseed.oil",5.4375002586757,20.1385916510164,0,0,4.96645878001961,0,113.392565298785,-32.4885105295087,165.548626000654
"groundnut.oil",0.643673307257539,0.536150870721598,0,0,0.0361107602959617,0,1.41846627782023,0.14336259171486,1.20369200986539
"maize.oil",4.63786867313194,1.16834647518028,0,0,0.0460539624996286,0,5.34870591032003,0.390105591547049,1.53513208332095
"oilcrops.oil..other",2.24074443401621,0.0754232982930473,0,0,0.0641924939827059,0,22.4645648233441,18.2236863821801,2.13974979942353
"olive.oil",35.6868350036939,4.31350625413751,0,0,0.216622589367961,0,52.4173179211363,14.0398587820158,7.22075297893204
"palm.kernel.oil",10.1823704391707,0.00259953138212286,0,0,0,0,10.1797709077886,2.18540463503558e-14,0
"palm.oil",106.089360263039,14.1775781409188,0,0,0,4.59558910610603,106.974118206401,19.6579251903868,0
"rape.and.mustard.oil",19.5358206630258,108.229704303549,0,0,9.60199685020652,115.248440396169,208.599530502481,102.077289715829,320.066561673551
"soybean.oil",22.5522047573438,2.32658369899005,0,0,0.43805459527531,1.7413720450432,38.5106825543042,5.86266829375866,14.6018198425103
"sunflower.and.safflower.oil",40.8547302590914,4.76438737911259,0,0,0.73697476005111,3.03280841075079,71.6726591982884,14.7862741540745,24.565825335037
"melons",0.00193452674848206,0.479994367648413,0,0,0.0718172882025733,0,8.2624922482487,5.32907051820075e-15,8.8123693773512
"olives..including.preserved",0,0,0,0,0.731390586277598,0,7.39130538139245,7.52999695123763,0.592699016432413
"onions",0.39500773264078,3.39951537709102,0,0,0.233892602663656,0,14.0178979585772,-0.874911303119404,18.1312095088105
"tomatoes.and.products",0.64844422009876,0.0231730635274694,0,0,0.0905377840632336,0,12.552824413871,3.47679065803902,8.54130038332392
"vegetables.and.products..other",11.6352969565589,4.47602910297948,0,0,1.4073923857995,0,76.7399724562446,24.0750174618148,46.9130795266499
