"","Imports","Exports","Feed","Seed","Losses","Industrial","Food","Stock","Production"
"butter.and.ghee",9.87924867722003,0.486570427260691,0,0,0.706243789674717,0,69.9637740279749,-30.264892484805,31.0124470828852
"barley.and.products",6.00252557060081,1.7236792350294,2.69150696197583,2.85400384338266,9.46745356954111,3.09422706630238,6.57623009012715,-8.25355999153742,12.1510152042203
"cereals..other.and.products",1.17076561237965,0.619161654422189,0.362514685124003,1.62613456068716,8.75950378418112,1.66983277809906,1.36051211753667,-13.2268939676705,0
"maize.and.products",745.692447536919,2.37824537296798,432.868973601571,6.41182630653856,22.7420148978514,83.6263341282711,539.70497067646,655.66308984729,997.70300729403
"millet.and.products",0.266036973985208,0.0418935402959446,9.6595146474616,6.25693710076709,4.72523121338093,1.75649063147443,3.69961347286491,-25.8736436322597,0
"oats.and.products",1.26776599064024,0.00160636550575657,8.56327996350908,7.6017317138238,3.20146514593616,0.228376058600906,12.4843358525795,-30.813029109315,0
"rice.(milled.eq.).and.products",22.4283870302861,21.6346344855588,11.8096506439671,3.8036213452655,26.207355085935,25.7613689382491,400.56714104685,3.51873597664655,470.874120492186
"rye.and.products",0.014466421138221,0.0646570552288876,1.77067099348257,6.0091333187348,2.32447655999436,0.157441667913165,5.81860277058107,-6.07255615518553,10.0579597896111
"sorghum.and.products",4.33538135972915,0.371330277468016,20.4126459804492,1.38218259168102,5.74133623383106,2.26483190116087,30.7718253848131,36.1002046969027,92.7089757065769
"wheat.and.products",1498.18826813509,23.0154107237253,69.0871695447107,19.5090614789629,27.508869044908,127.208525694007,1569.23839727834,665.945003900866,1003.32416953043
"eggs",0.244656139261581,0.327634732718235,0,0,6.95248148068983,0,9.75300354365974,-2.19411596156813,14.5943476562381
"milk..excluding.butter",18.9139473525903,10.1492991206541,4.63288144871875,0,6.98913912772951,0,149.674571067875,10.7296956376517,163.261639050039
"apples.and.products",4.03720258005336,0.0308594913710636,0,0,0.216674794991438,0,14.7289325712825,-1.19408813949818,9.74517613809343
"bananas.and.plantains",0.903452565072821,0.178114265017311,0,0,4.46166836477359,0,39.3641406927841,-7.2364575825703,35.8640131749319
"citrus.and.products",0.0377043713440085,14.5249380636009,0,0,3.48368325359619,0,35.6589552260075,10.8823137814179,64.5121859532785
